id,title,year,country,duration,language,rating,revenue,budget
140,On Her Majesty's Secret Service,1969.0,UK,142.0,English,M,22800000.0,7000000.0
141,Paint Your Wagon,1969.0,USA,158.0,English,PG-13,,20000000.0
142,Sweet Charity,1969.0,USA,154.0,English,G,,20000000.0
143,The Stewardesses,1969.0,USA,93.0,English,X,,100000.0
144,The Wild Bunch,1969.0,USA,144.0,English,R,,6244087.0
145,Topaz,1969.0,USA,127.0,English,M,,4000000.0
146,Beneath the Planet of the Apes,1970.0,USA,95.0,English,G,,3000000.0
147,Beyond the Valley of the Dolls,1970.0,USA,109.0,English,X,9000000.0,900000.0
148,Catch-22,1970.0,USA,122.0,English,R,,18000000.0
149,Cotton Comes to Harlem,1970.0,USA,97.0,English,R,,1200000.0
150,Darling Lili,1970.0,USA,143.0,English,G,5000000.0,25000000.0
151,Patton,1970.0,USA,172.0,English,GP,,12000000.0
152,The Ballad of Cable Hogue,1970.0,USA,121.0,English,R,,3716946.0
153,The Conformist,1970.0,Italy,106.0,Italian,R,,750000.0
154,The Molly Maguires,1970.0,USA,124.0,English,PG,,11000000.0
155,Tora! Tora! Tora!,1970.0,Japan,160.0,English,G,14500000.0,25000000.0
156,Waterloo,1970.0,Italy,134.0,English,G,,25000000.0
157,Woodstock,1970.0,USA,215.0,English,R,13300000.0,600000.0
158,Bananas,1971.0,USA,82.0,English,GP,,2000000.0
159,Diamonds Are Forever,1971.0,UK,120.0,English,GP,43800000.0,7200000.0
160,Escape from the Planet of the Apes,1971.0,USA,98.0,English,G,,2500000.0
161,Fiddler on the Roof,1971.0,USA,181.0,English,G,50000000.0,9000000.0
162,Pink Narcissus,1971.0,USA,65.0,English,Not Rated,8231.0,27000.0
163,Sweet Sweetback's Baadasssss Song,1971.0,USA,97.0,English,R,15180000.0,500000.0
164,The Andromeda Strain,1971.0,USA,115.0,English,G,,6500000.0
165,The French Connection,1971.0,USA,104.0,English,R,,1800000.0
166,The French Connection,1971.0,USA,104.0,English,R,,1800000.0
167,The Night Visitor,1971.0,USA,106.0,English,GP,,
168,Willy Wonka & the Chocolate Factory,1971.0,USA,89.0,English,G,,3000000.0
169,1776,1972.0,USA,168.0,English,PG,,4000000.0
170,Conquest of the Planet of the Apes,1972.0,USA,88.0,English,PG,,1700000.0
171,Cries & Whispers,1972.0,Sweden,91.0,Swedish,R,,400000.0
172,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,1972.0,USA,88.0,English,R,,2000000.0
173,Frenzy,1972.0,UK,116.0,English,R,,2000000.0
174,Pink Flamingos,1972.0,USA,108.0,English,NC-17,180483.0,10000.0
175,Silent Running,1972.0,USA,89.0,English,GP,,1000000.0
176,Solaris,1972.0,Soviet Union,115.0,Russian,PG,,1000000.0
177,The Godfather,1972.0,USA,175.0,English,R,134821952.0,6000000.0
178,American Graffiti,1973.0,USA,112.0,English,PG,115000000.0,777000.0
179,Battle for the Planet of the Apes,1973.0,USA,96.0,English,G,,1800000.0
180,High Plains Drifter,1973.0,USA,105.0,English,R,,5500000.0
181,Live and Let Die,1973.0,UK,121.0,English,PG,35400000.0,7000000.0
182,Mean Streets,1973.0,USA,112.0,English,R,32645.0,500000.0
183,Pat Garrett & Billy the Kid,1973.0,USA,106.0,English,R,,4638783.0
184,Sleeper,1973.0,USA,89.0,English,PG,,2000000.0
185,The Exorcist,1973.0,USA,132.0,English,R,204565000.0,8000000.0
186,The Sting,1973.0,USA,129.0,English,PG,159600000.0,5500000.0
187,Benji,1974.0,USA,86.0,English,G,39552600.0,500000.0
188,Blazing Saddles,1974.0,USA,93.0,English,R,119500000.0,2600000.0
189,The Conversation,1974.0,USA,113.0,English,PG,,1600000.0
190,The Front Page,1974.0,USA,105.0,English,PG,,4000000.0
191,The Godfather: Part II,1974.0,USA,220.0,English,R,57300000.0,13000000.0
192,The Man with the Golden Gun,1974.0,UK,125.0,English,PG,21000000.0,13000000.0
193,The Texas Chain Saw Massacre,1974.0,USA,88.0,English,R,30859000.0,83532.0
194,The Texas Chain Saw Massacre,1974.0,USA,88.0,English,R,30859000.0,83532.0
195,Young Frankenstein,1974.0,USA,106.0,English,PG,86300000.0,2800000.0
196,Barry Lyndon,1975.0,UK,184.0,English,PG,,11000000.0
197,Death Race 2000,1975.0,USA,80.0,English,R,,300000.0
198,Jaws,1975.0,USA,130.0,English,PG,260000000.0,8000000.0
199,Monty Python and the Holy Grail,1975.0,UK,91.0,English,PG,1229197.0,229575.0
200,One Flew Over the Cuckoo's Nest,1975.0,USA,133.0,English,R,112000000.0,4400000.0
201,The Return of the Pink Panther,1975.0,UK,113.0,English,G,,5000000.0
202,Family Plot,1976.0,USA,120.0,English,PG,,4490375.0
203,Logan's Run,1976.0,USA,119.0,English,PG,25000000.0,9000000.0
204,Network,1976.0,USA,121.0,English,R,,3800000.0
205,Robin and Marian,1976.0,USA,106.0,English,PG,,5000000.0
206,Rocky,1976.0,USA,145.0,English,PG,117235247.0,960000.0
207,Silent Movie,1976.0,USA,87.0,,PG,,4400000.0
208,Taxi Driver,1976.0,USA,110.0,English,R,,1300000.0
209,The Bad News Bears,1976.0,USA,102.0,English,PG,,
210,The Omen,1976.0,UK,107.0,English,R,,2800000.0
211,The Omen,1976.0,UK,107.0,English,R,,2800000.0
212,A Bridge Too Far,1977.0,USA,175.0,English,PG,50800000.0,26000000.0
213,Annie Hall,1977.0,USA,93.0,English,PG,39200000.0,4000000.0
214,Capricorn One,1977.0,USA,130.0,English,PG,,5000000.0
215,Close Encounters of the Third Kind,1977.0,USA,135.0,English,PG,128300000.0,19400870.0
216,Damnation Alley,1977.0,USA,91.0,English,PG,,17000000.0
217,Eraserhead,1977.0,USA,89.0,English,Unrated,,20000.0
218,Exorcist II: The Heretic,1977.0,USA,118.0,English,R,,14000000.0
219,High Anxiety,1977.0,USA,94.0,English,PG,,3400000.0
220,Julia,1977.0,USA,117.0,English,PG,,7840000.0
221,Kingdom of the Spiders,1977.0,USA,97.0,English,PG,17000000.0,500000.0
222,March or Die,1977.0,UK,107.0,English,PG,1000000.0,9000000.0
223,"New York, New York",1977.0,USA,136.0,English,PG,,14000000.0
224,Sorcerer,1977.0,USA,92.0,English,PG,,12000000.0
225,Star Wars: Episode IV - A New Hope,1977.0,USA,125.0,English,PG,460935665.0,11000000.0
226,The Kentucky Fried Movie,1977.0,USA,83.0,English,R,,650000.0
227,The Spy Who Loved Me,1977.0,UK,123.0,English,PG,46800000.0,14000000.0
228,Alien Zone,1978.0,USA,79.0,English,PG,,350000.0
229,Animal House,1978.0,USA,109.0,English,R,141600000.0,3000000.0
230,Caravans,1978.0,Iran,127.0,English,PG,1000000.0,14000000.0
231,Days of Heaven,1978.0,USA,94.0,English,PG,,3000000.0
232,F.I.S.T.,1978.0,USA,145.0,English,PG,,11000000.0
233,Force 10 from Navarone,1978.0,UK,126.0,English,PG,,5000000.0
234,Grease,1978.0,USA,110.0,English,PG-13,181360000.0,6000000.0
235,Halloween,1978.0,USA,101.0,English,R,47000000.0,300000.0
236,Halloween,1978.0,USA,101.0,English,R,47000000.0,300000.0
237,Halloween,1978.0,USA,101.0,English,R,47000000.0,300000.0
238,Jaws 2,1978.0,USA,131.0,English,PG,102922376.0,20000000.0
239,Superman,1978.0,USA,188.0,English,PG,134218018.0,55000000.0
240,The Boys from Brazil,1978.0,UK,125.0,English,R,,12000000.0
241,The Deer Hunter,1978.0,UK,183.0,English,R,,15000000.0
242,The Last Waltz,1978.0,USA,117.0,English,PG,321952.0,
243,The Wiz,1978.0,USA,118.0,English,G,13000000.0,24000000.0
244,1941,1979.0,USA,142.0,English,PG,,35000000.0
245,Alien,1979.0,UK,116.0,English,R,78900000.0,11000000.0
246,All That Jazz,1979.0,USA,123.0,English,R,,
247,Apocalypse Now,1979.0,USA,289.0,English,R,78800000.0,31500000.0
248,Escape from Alcatraz,1979.0,USA,112.0,English,PG,36500000.0,8000000.0
249,Mad Max,1979.0,Australia,93.0,English,R,,200000.0
250,Meteor,1979.0,USA,108.0,English,PG,,16000000.0
251,Moonraker,1979.0,UK,126.0,English,PG,62700000.0,34000000.0
252,Penitentiary,1979.0,USA,99.0,English,R,,100000.0
253,Prophecy,1979.0,USA,102.0,English,PG,,12000000.0
254,Star Trek: The Motion Picture,1979.0,USA,143.0,English,PG,82300000.0,35000000.0
255,The Black Hole,1979.0,USA,98.0,English,PG,,20000000.0
256,The Black Stallion,1979.0,USA,118.0,English,G,,2700000.0
257,The Great Train Robbery,1979.0,UK,110.0,English,PG,,6000000.0
258,The Muppet Movie,1979.0,UK,95.0,English,G,76657000.0,
259,The Rose,1979.0,USA,125.0,English,R,29200000.0,8500000.0
260,Airplane!,1980.0,USA,88.0,English,PG,83400000.0,3500000.0
261,Caddyshack,1980.0,USA,98.0,English,R,39800000.0,6000000.0
262,Can't Stop the Music,1980.0,USA,124.0,English,PG,2000000.0,20000000.0
263,Coal Miner's Daughter,1980.0,USA,124.0,English,PG,79900000.0,
264,Dressed to Kill,1980.0,USA,104.0,English,X,31899000.0,6500000.0
265,Flash Gordon,1980.0,UK,111.0,English,PG,,20000000.0
266,Galaxina,1980.0,USA,95.0,English,R,,
267,Heaven's Gate,1980.0,USA,325.0,English,R,1500000.0,44000000.0
268,Lion of the Desert,1980.0,Libya,156.0,English,PG,,35000000.0
269,Ordinary People,1980.0,USA,124.0,English,R,54800000.0,6000000.0
270,Out of the Blue,1980.0,Canada,94.0,English,R,,2200000.0
271,Private Benjamin,1980.0,USA,109.0,English,R,69800000.0,10000000.0
272,Raging Bull,1980.0,USA,121.0,English,R,45250.0,18000000.0
273,Raise the Titanic,1980.0,UK,119.0,English,PG,7000000.0,36000000.0
274,Somewhere in Time,1980.0,USA,103.0,English,PG,,5100000.0
275,Star Wars: Episode V - The Empire Strikes Back,1980.0,USA,127.0,English,PG,290158751.0,18000000.0
276,Superman II,1980.0,USA,116.0,English,PG,108200000.0,54000000.0
277,The Blue Lagoon,1980.0,USA,104.0,English,R,,4500000.0
278,The Blues Brothers,1980.0,USA,148.0,English,R,54200000.0,27000000.0
279,The Elephant Man,1980.0,USA,124.0,English,PG,,5000000.0
280,The Fog,1980.0,USA,89.0,English,R,21378000.0,1000000.0
281,The Fog,1980.0,USA,89.0,English,R,21378000.0,1000000.0
282,The Long Riders,1980.0,USA,100.0,English,R,,10000000.0
283,The Shining,1980.0,USA,146.0,English,R,,19000000.0
284,Blow Out,1981.0,USA,107.0,English,R,,18000000.0
285,Chariots of Fire,1981.0,UK,125.0,English,PG,58800000.0,5500000.0
286,Das Boot,1981.0,West Germany,293.0,German,R,11433134.0,14000000.0
287,Dragonslayer,1981.0,USA,108.0,English,PG,6000000.0,18000000.0
288,Escape from New York,1981.0,UK,106.0,English,R,25244700.0,6000000.0
289,For Your Eyes Only,1981.0,UK,127.0,English,PG,62300000.0,28000000.0
290,Friday the 13th Part 2,1981.0,USA,87.0,English,R,19100000.0,1250000.0
291,Graduation Day,1981.0,USA,96.0,English,R,,250000.0
292,Heartbeeps,1981.0,USA,78.0,English,PG,,10000000.0
293,Heavy Metal,1981.0,Canada,90.0,English,R,,9300000.0
294,History of the World: Part I,1981.0,USA,92.0,English,R,,11000000.0
295,History of the World: Part I,1981.0,USA,92.0,English,R,,11000000.0
296,Inchon,1981.0,South Korea,140.0,English,PG,,48000000.0
297,Mad Max 2: The Road Warrior,1981.0,Australia,87.0,English,R,9003011.0,2000000.0
298,Modern Problems,1981.0,USA,93.0,English,PG,,8000000.0
299,Mommie Dearest,1981.0,USA,129.0,English,R,,5000000.0
300,Nighthawks,1981.0,USA,99.0,English,R,,5000000.0
301,Porky's,1981.0,Canada,94.0,English,R,105500000.0,4000000.0
302,Quest for Fire,1981.0,Canada,100.0,None,R,,12500000.0
303,Raiders of the Lost Ark,1981.0,USA,115.0,English,PG,242374454.0,18000000.0
304,Reds,1981.0,USA,195.0,English,PG,,35000000.0
305,Roar,1981.0,USA,102.0,English,PG,2000000.0,17000000.0
306,Sphinx,1981.0,USA,118.0,English,PG,800000.0,14000000.0
307,Stripes,1981.0,USA,117.0,English,R,85300000.0,10000000.0
308,The Beyond,1981.0,Italy,82.0,Italian,X,126387.0,400000.0
309,The Evil Dead,1981.0,USA,96.0,English,NC-17,,375000.0
310,The Four Seasons,1981.0,USA,107.0,English,PG,,
311,The Howling,1981.0,USA,91.0,English,R,17986000.0,1000000.0
312,The Legend of the Lone Ranger,1981.0,USA,98.0,English,PG,8000000.0,18000000.0
313,The Postman Always Rings Twice,1981.0,USA,122.0,English,R,,12000000.0
314,The Pursuit of D.B. Cooper,1981.0,USA,100.0,English,PG,,12000000.0
315,Time Bandits,1981.0,UK,103.0,English,PG,42365600.0,5000000.0
316,Under the Rainbow,1981.0,USA,98.0,English,PG,8500000.0,20000000.0
317,Blade Runner,1982.0,USA,117.0,English,R,27000000.0,28000000.0
318,Butterfly,1982.0,USA,108.0,English,R,,
319,Cat People,1982.0,USA,93.0,English,R,,18000000.0
320,Cat People,1982.0,USA,93.0,English,R,,18000000.0
321,Class of 1984,1982.0,Canada,98.0,English,R,,4300000.0
322,Conan the Barbarian,1982.0,USA,129.0,English,R,37567440.0,20000000.0
323,Conan the Barbarian,1982.0,USA,129.0,English,R,37567440.0,20000000.0
324,Creepshow,1982.0,USA,130.0,English,R,,8000000.0
325,Creepshow,1982.0,USA,130.0,English,R,,8000000.0
326,Diner,1982.0,USA,110.0,English,R,14100000.0,5000000.0
327,E.T. the Extra-Terrestrial,1982.0,USA,120.0,English,PG,434949459.0,10500000.0
328,Fast Times at Ridgemont High,1982.0,USA,90.0,English,X,,4500000.0
329,Firefox,1982.0,USA,136.0,English,PG,46700000.0,21000000.0
330,First Blood,1982.0,USA,93.0,English,R,,14000000.0
331,First Blood,1982.0,USA,93.0,English,R,,14000000.0
332,Friday the 13th Part III,1982.0,USA,91.0,English,R,36200000.0,4000000.0
333,Gandhi,1982.0,UK,240.0,English,PG,,22000000.0
334,Halloween III: Season of the Witch,1982.0,USA,98.0,English,R,14400000.0,2500000.0
335,Jekyll and Hyde... Together Again,1982.0,USA,87.0,English,R,,5000000.0
336,Megaforce,1982.0,USA,99.0,English,PG,5333658.0,20000000.0
337,Poltergeist,1982.0,USA,120.0,English,PG,76600000.0,10700000.0
338,Poltergeist,1982.0,USA,120.0,English,PG,76600000.0,10700000.0
339,Star Trek II: The Wrath of Khan,1982.0,USA,116.0,English,PG,78900000.0,11000000.0
340,The Ballad of Gregorio Cortez,1982.0,USA,105.0,English,,,1250000.0
341,The Beastmaster,1982.0,USA,90.0,English,PG,,8000000.0
342,The Best Little Whorehouse in Texas,1982.0,USA,114.0,English,R,69700000.0,35000000.0
343,The Man from Snowy River,1982.0,Australia,102.0,English,PG,,3500000.0
344,The Thing,1982.0,USA,109.0,English,R,13782838.0,15000000.0
345,The Verdict,1982.0,USA,129.0,English,R,54000000.0,16000000.0
346,Tootsie,1982.0,USA,116.0,English,PG,177200000.0,22000000.0
347,A Christmas Story,1983.0,USA,94.0,English,PG,,4000000.0
348,Flashdance,1983.0,USA,95.0,English,R,94900000.0,4000000.0
349,Gabriela,1983.0,Brazil,99.0,Portuguese,R,,
350,Krull,1983.0,UK,116.0,English,PG,,27000000.0
351,Lone Wolf McQuade,1983.0,USA,107.0,English,PG,12200000.0,5000000.0
352,Losin' It,1983.0,Canada,100.0,English,R,,7000000.0
353,Love Letters,1983.0,USA,88.0,English,R,,550000.0
354,National Lampoon's Vacation,1983.0,USA,98.0,English,R,61400000.0,15000000.0
355,Never Say Never Again,1983.0,UK,121.0,English,PG,55500000.0,36000000.0
356,Octopussy,1983.0,UK,131.0,English,PG,67900000.0,27500000.0
357,Scarface,1983.0,USA,142.0,English,R,44700000.0,25000000.0
358,Star Wars: Episode VI - Return of the Jedi,1983.0,USA,134.0,English,PG,309125409.0,32500000.0
359,Superman III,1983.0,UK,125.0,English,PG,60000000.0,39000000.0
360,The Dead Zone,1983.0,USA,103.0,English,R,,10000000.0
361,The Outsiders,1983.0,USA,114.0,English,PG-13,25600000.0,10000000.0
362,The Right Stuff,1983.0,USA,193.0,English,PG,21500000.0,27000000.0
363,The Wicked Lady,1983.0,UK,98.0,English,R,,8000000.0
364,Trading Places,1983.0,USA,116.0,English,R,90400000.0,
365,Twilight Zone: The Movie,1983.0,USA,101.0,English,PG,29500000.0,10000000.0
366,Videodrome,1983.0,Canada,89.0,English,R,,5952000.0
367,WarGames,1983.0,USA,114.0,English,PG,79568000.0,12000000.0
368,Yentl,1983.0,UK,132.0,English,PG,30400000.0,12000000.0
369,A Nightmare on Elm Street,1984.0,USA,101.0,English,X,26505000.0,1800000.0
370,A Nightmare on Elm Street,1984.0,USA,101.0,English,X,26505000.0,1800000.0
371,A Passage to India,1984.0,UK,164.0,English,PG,26400000.0,16000000.0
372,Amadeus,1984.0,USA,180.0,English,R,51600000.0,18000000.0
373,Beverly Hills Cop,1984.0,USA,105.0,English,R,234760500.0,14000000.0
374,Body Double,1984.0,USA,114.0,English,R,,10000000.0
375,C.H.U.D.,1984.0,USA,96.0,English,R,,1250000.0
376,Conan the Destroyer,1984.0,USA,103.0,English,PG,26400000.0,18000000.0
377,Dune,1984.0,USA,177.0,English,PG-13,27400000.0,40000000.0
378,Firestarter,1984.0,USA,114.0,English,R,15100000.0,15000000.0
